Rain_3day_sum,Rain_7day_sum,Rain_3day_avg,Max_River_Rise,Max_Normalized_River_Level,Avg_Normalized_River_Level,Flood_Label
0.05965116,0.112785625,0.05965116,0,0.084017688,0.039118679,0
0.053029326,0.082361372,0.053029326,0,0.082122552,0.038276815,0
0.042424196,0.06824559,0.042424196,0,0.080859128,0.037589119,0
0.013817639,0.066608491,0.013817639,0,0.078648136,0.036594675,0
0.018672821,0.070704976,0.018672821,0.016561775,0.078016425,0.036657595,0
0.027018757,0.072783395,0.027018757,0,0.076437145,0.035821079,0
0.029602184,0.067644063,0.029602184,0,0.075173721,0.035063527,0
0.027824762,0.043189198,0.027824762,0,0.073278585,0.034148047,0
0.022498181,0.046387439,0.022498181,0,0.072015161,0.033390495,0
0.024722701,0.052340088,0.024722701,0,0.069804169,0.032318676,0
0.041595664,0.067204921,0.041595664,0,0.068224889,0.031629392,0
0.182753687,0.188244922,0.182753687,0,0.066013898,0.03078218,0
0.185016275,0.188938161,0.185016275,0.016561775,0.064434618,0.030608208,0
0.211109104,0.224128245,0.211109104,0,0.062223626,0.02968362,0
0.096657301,0.247754668,0.096657301,0.358838467,0.060644346,0.034073842,0
0.114689242,0.268642712,0.114689242,0.126973612,0.064782097,0.035293226,0
0.066877593,0.260573608,0.066877593,0,0.064782097,0.034821031,0
0.039568783,0.246002311,0.039568783,0,0.06360424,0.033975407,0
0.016489496,0.124897617,0.016489496,0,0.062426384,0.033208748,0
0.019768261,0.117707058,0.019768261,0,0.061248528,0.0324405,0
0.01697391,0.078161108,0.01697391,0,0.060070671,0.03167384,0
0.030264421,0.067497098,0.030264421,0,0.058892815,0.030905592,0
0.037766438,0.051202806,0.037766438,0,0.057714959,0.030138933,0
0.100584134,0.107302379,0.100584134,0,0.056537102,0.029449649,0
0.168280243,0.178775665,0.168280243,0,0.055359246,0.028605614,0
0.169184733,0.183216749,0.169184733,0.027602959,0.055359246,0.028597671,0
0.108490683,0.18400809,0.108490683,0,0.053592462,0.027761155,0
0.029539142,0.189639042,0.029539142,0,0.052414605,0.026992907,0
0.027057155,0.18044388,0.027057155,0,0.050942285,0.026230007,0
0.029707536,0.177040699,0.029707536,0,0.049764429,0.025384383,0
0.043183572,0.140012907,0.043183572,0,0.048586572,0.025089919,0
0.035216281,0.065402322,0.035216281,0,0.047408716,0.02432326,0
0.037878495,0.063518795,0.037878495,0,0.045936396,0.02356036,0
0.026927948,0.069497164,0.026927948,0.033123551,0.044758539,0.023256364,0
0.036483083,0.071405764,0.036483083,0,0.044758539,0.022861544,0
0.050906425,0.084137881,0.050906425,0,0.043580683,0.022093296,0
0.05691745,0.093021722,0.05691745,0,0.042402827,0.021326637,0
0.054620218,0.081293411,0.054620218,0.154576571,0.050647821,0.023774762,0
0.044499905,0.092164116,0.044499905,0.06072651,0.053886926,0.024426611,0
0.03033524,0.086500138,0.03033524,0.044164734,0.056242638,0.024541755,0
0.02879986,0.082911788,0.02879986,0,0.055064782,0.023852471,0
0.032618267,0.088822756,0.032618267,0,0.053886926,0.023085811,0
0.044885543,0.081294734,0.044885543,0.231864856,0.066254417,0.026641937,0
0.045902933,0.073389095,0.045902933,0.033123551,0.068021201,0.027317348,0
0.049424232,0.084330524,0.049424232,0.027602959,0.068021201,0.028099045,0
0.05075575,0.086703276,0.05075575,0.099370653,0.073321555,0.029965761,0
0.041395379,0.082951231,0.041395379,0,0.073321555,0.029728869,0
0.018650852,0.075556114,0.018650852,0,0.072143698,0.02896221,0
0.000408445,0.058856006,0.000408445,0,0.070965842,0.028430854,0
0.000126723,0.04425462,0.000126723,0,0.069787986,0.027664194,0
0.000216351,0.036057399,0.000216351,0,0.06861013,0.027132838,0
0.000696425,0.016727973,0.000696425,0,0.067432273,0.026366179,0
0.002198657,0.00227418,0.002198657,0,0.066254417,0.025834823,0
0.003139772,0.002983195,0.003139772,0,0.065076561,0.024911824,0
0.002708445,0.002944832,0.002708445,0,0.063898704,0.024301504,0
0.001185114,0.002945656,0.001185114,0,0.062720848,0.023534844,0
6.00E-05,0.002925533,6.00E-05,0,0.061542992,0.022924524,0
3.03E-05,0.002783943,3.03E-05,0,0.060365135,0.022236829,0
0.001352151,0.00351257,0.001352151,0,0.060365135,0.021999937,0
0.002751997,0.003403928,0.002751997,0,0.059187279,0.021234866,0
0.003557834,0.003145381,0.003557834,0,0.058009423,0.02070351,0
0.035492168,0.031856011,0.035492168,0,0.056831567,0.02033167,0
0.047228811,0.04321139,0.047228811,0.071767693,0.0606596,0.021209714,0
0.055719944,0.051266625,0.055719944,0.055205918,0.061837456,0.022216443,0
0.082261611,0.102949814,0.082261611,0.022082367,0.061837456,0.022532299,0
0.093624637,0.122986338,0.093624637,0.06072651,0.065076561,0.023500003,0
0.097950406,0.133571204,0.097950406,0.038644143,0.067137809,0.024174832,0
0.051916387,0.144758606,0.051916387,0.06072651,0.070376914,0.028641802,0
0.035803042,0.123255107,0.035803042,0.033123551,0.072143698,0.029125624,0
0.030598678,0.119193484,0.030598678,0.049685326,0.074793875,0.032000204,0
0.02412889,0.117446296,0.02412889,0.033123551,0.074793875,0.032753006,0
0.028383429,0.076674275,0.028383429,0.005520592,0.074204947,0.032807416,0
0.03683006,0.070091258,0.03683006,0.005520592,0.073027091,0.032713006,0
0.116779113,0.133724812,0.116779113,0.104891244,0.078621908,0.037654691,0
0.899328189,0.809311222,0.899328189,1,0.14958775,0.06714159,0
0.906137514,0.822546191,0.906137514,1,0.232921084,0.126823184,0
0.827493036,0.822686481,0.827493036,0.51893563,0.260600707,0.162769661,0
0.064591968,0.844293914,0.064591968,1,0.295641932,0.212159019,0
0.049757471,0.841025297,0.049757471,1,0.366018846,0.300723238,0
0.099858402,0.87717816,0.099858402,1,0.481154299,0.422102134,0
0.206719121,0.922052299,0.206719121,1,0.550353357,0.477814283,0
1,0.928061952,1,1,0.795936396,0.660694858,1
0.982580986,0.943268001,0.982580986,1,0.941401649,0.807332292,1
0.892075224,0.977887369,0.892075224,0.651429833,0.895170789,0.776723699,1
0.13049795,0.985041519,0.13049795,1,0.922261484,0.802144122,1
0.115377101,1,0.115377101,1,0.962308598,0.818056895,1
0.112043932,0.988422471,0.112043932,1,0.941401649,0.824440542,1
0.117527768,0.90793039,0.117527768,1,0.934040047,0.837485167,1
0.107943109,0.228764769,0.107943109,0.281550182,0.949057715,0.854449883,1
0.063683176,0.193981699,0.063683176,0.358838467,0.949057715,0.87455665,1
